,X1,X2,X3,Y
1,0.25,1,20,15.71
2,0.25,1,50,20.00
3,0.25,2,40,33.33
4,0.25,5,30,89.18
5,0.25,5,50,93.76
6,0.25,5,90,59.15
7,0.25,10,70,111.36
8,0.38,1,30,23.44
9,0.38,1,40,25.88
10,0.38,1,50,24.84
11,0.38,2,20,38.64
12,0.38,10,30,150.00
13,0.38,10,50,141.86
14,0.5,1,20,28.72
15,0.5,1,60,23.08
16,0.5,1,70,19.80
17,0.5,2,70,55.32
18,0.5,5,20,41.03
19,0.5,5,90,51.61
20,0.5,10,40,162.50
21,0.5,10,50,127.86
22,0.63,1,50,24.28
23,0.63,5,30,95.65
24,0.69,1,50,20.00
25,0.75,2,50,63.41
26,0.75,5,30,67.31
27,0.75,5,40,95.31
28,0.75,5,50,119.05
29,0.75,5,70,90.00
30,0.75,5,90,90.36
31,0.75,10,30,114.28
32,0.75,10,70,191.80
33,0.38,5,30,92.68
34,0.5,1,30,27.07
35,0.5,1,40,29.33
36,0.5,1,50,28.05
37,0.5,2,50,59.83
38,0.5,5,30,102.38
39,0.63,5,70,131.75
